iter	Passed	Remaining
0	57	57562
1	57	28912
2	58	19371
3	58	14593
4	58	11722
5	59	9807
6	59	8434
7	59	7407
8	59	6605
9	60	5968
10	60	5445
11	60	5010
12	61	4640
13	61	4325
14	61	4052
15	61	3812
16	62	3601
17	62	3413
18	62	3244
19	63	3093
20	63	2955
21	63	2830
22	63	2716
23	64	2613
24	64	2516
25	64	2428
26	65	2345
27	65	2269
28	65	2198
29	65	2133
30	66	2071
31	66	2013
32	66	1958
33	67	1906
34	67	1858
35	67	1811
36	67	1769
37	68	1728
38	68	1689
39	68	1652
40	69	1622
41	69	1593
42	70	1564
43	70	1534
44	70	1504
45	71	1475
46	71	1448
47	71	1422
48	72	1397
49	72	1373
50	72	1350
51	72	1328
52	73	1307
53	73	1286
54	73	1267
55	74	1248
56	74	1229
57	74	1212
58	74	1194
59	75	1177
60	75	1161
61	75	1145
62	76	1130
63	76	1115
64	76	1101
65	76	1087
66	77	1073
67	77	1060
68	77	1047
69	77	1035
70	78	1023
71	78	1011
72	78	999
73	79	988
74	79	977
75	79	967
76	79	956
77	80	947
78	80	937
79	80	928
80	80	918
81	81	909
82	81	900
83	81	891
84	82	883
85	82	874
86	82	866
87	82	858
88	83	851
89	83	843
90	83	835
91	83	827
92	84	820
93	84	813
94	84	806
95	84	799
96	85	793
97	85	786
98	85	780
99	86	774
100	86	769
101	86	765
102	87	761
103	87	756
104	88	750
105	88	744
106	88	739
107	88	734
108	89	728
109	89	723
110	89	716
111	89	711
112	90	707
113	90	702
114	90	697
115	90	692
116	91	688
117	91	683
118	91	678
119	91	673
120	92	669
121	92	665
122	92	661
123	92	656
124	93	652
125	93	649
126	93	645
127	94	640
128	94	637
129	94	633
130	94	629
131	95	626
132	95	622
133	95	618
134	96	615
135	96	611
136	96	608
137	96	605
138	97	602
139	97	598
140	97	595
141	98	592
142	98	590
143	98	587
144	99	584
145	99	582
146	99	580
147	100	577
148	100	574
149	100	571
150	101	569
151	101	566
152	101	563
153	102	560
154	102	558
155	102	555
156	103	553
157	103	550
158	103	548
159	103	545
160	104	542
161	104	540
162	104	537
163	105	535
164	105	532
165	105	528
166	105	526
167	105	524
168	106	522
169	106	519
170	106	517
171	107	515
172	107	513
173	107	510
174	108	509
175	108	507
176	108	505
177	109	504
178	109	502
179	109	501
180	110	499
181	110	497
182	110	495
183	111	493
184	111	491
185	111	490
186	112	487
187	112	485
188	112	483
189	113	481
190	113	479
191	113	477
192	113	475
193	114	473
194	114	471
195	114	469
196	114	468
197	115	466
198	115	464
199	115	462
200	115	460
201	116	459
202	116	457
203	116	455
204	117	454
205	117	452
206	117	450
207	118	449
208	118	447
209	118	445
210	118	444
211	119	442
212	119	440
213	119	438
214	119	437
215	120	435
216	120	434
217	120	432
218	120	431
219	121	429
220	121	428
221	121	426
222	122	425
223	122	423
224	122	422
225	122	420
226	123	419
227	123	418
228	123	416
229	123	415
230	124	413
231	124	412
232	124	410
233	125	409
234	125	407
235	125	406
236	125	405
237	126	403
238	126	402
239	126	401
240	126	399
241	127	398
242	127	397
243	127	396
244	128	395
245	128	393
246	128	392
247	129	391
248	129	389
249	129	388
250	129	387
251	130	386
252	130	384
253	130	383
254	130	382
255	131	381
256	131	379
257	131	378
258	131	377
259	132	376
260	132	375
261	132	373
262	132	372
263	133	371
264	133	370
265	133	369
266	134	368
267	134	366
268	134	365
269	134	364
270	135	363
271	135	362
272	135	361
273	135	360
274	136	359
275	136	358
276	136	357
277	137	355
278	137	354
279	137	353
280	137	352
281	138	351
282	138	350
283	138	349
284	138	348
285	139	347
286	139	346
287	139	345
288	140	344
289	140	343
290	140	342
291	140	341
292	141	340
293	141	339
294	141	338
295	141	337
296	142	336
297	142	335
298	142	334
299	143	333
300	143	332
301	143	331
302	143	330
303	144	329
304	144	328
305	144	327
306	144	327
307	145	326
308	145	325
309	145	324
310	145	323
311	146	322
312	146	321
313	146	320
314	146	319
315	147	318
316	147	317
317	147	316
318	148	316
319	148	315
320	148	314
321	148	313
322	149	312
323	149	311
324	149	310
325	149	310
326	150	309
327	150	308
328	150	307
329	151	306
330	151	305
331	151	304
332	151	304
333	152	303
334	152	302
335	152	301
336	152	300
337	153	299
338	153	299
339	153	298
340	153	297
341	154	296
342	154	295
343	154	295
344	155	294
345	155	293
346	155	292
347	155	291
348	156	291
349	156	290
350	156	289
351	156	288
352	157	288
353	157	287
354	157	286
355	157	285
356	158	284
357	158	284
358	158	283
359	159	282
360	159	281
361	159	281
362	159	280
363	160	279
364	160	278
365	160	278
366	160	277
367	161	276
368	161	276
369	161	275
370	162	274
371	162	274
372	162	273
373	162	272
374	163	271
375	163	271
376	163	270
377	164	269
378	164	269
379	164	268
380	164	267
381	165	267
382	165	266
383	165	265
384	165	265
385	166	264
386	166	263
387	166	263
388	167	262
389	167	261
390	167	260
391	167	260
392	168	259
393	168	258
394	168	258
395	168	257
396	169	257
397	169	256
398	169	255
399	170	255
400	170	254
401	170	253
402	170	253
403	171	252
404	171	251
405	171	251
406	172	250
407	172	250
408	172	249
409	173	248
410	173	248
411	173	247
412	173	247
413	174	246
414	174	246
415	174	245
416	175	245
417	175	244
418	175	243
419	176	243
420	176	242
421	176	242
422	176	241
423	177	240
424	177	240
425	177	239
426	178	238
427	178	238
428	178	237
429	178	236
430	179	236
431	179	235
432	179	235
433	179	234
434	180	233
435	180	233
436	180	232
437	180	231
438	181	231
439	181	230
440	181	230
441	181	229
442	182	229
443	182	228
444	182	227
445	183	227
446	183	226
447	183	226
448	183	225
449	184	225
450	184	224
451	184	224
452	185	223
453	185	222
454	185	222
455	185	221
456	186	221
457	186	220
458	186	220
459	187	219
460	187	219
461	187	218
462	188	218
463	188	217
464	189	217
465	189	217
466	189	216
467	190	216
468	190	215
469	190	215
470	191	214
471	191	214
472	191	213
473	191	212
474	192	212
475	192	211
476	192	211
477	193	210
478	193	210
479	193	209
480	193	209
481	194	208
482	194	208
483	194	207
484	195	207
485	195	206
486	195	206
487	196	205
488	196	205
489	196	204
490	196	204
491	197	203
492	197	203
493	197	202
494	198	202
495	198	201
496	198	201
497	198	200
498	199	200
499	199	199
500	199	199
501	200	198
502	200	197
503	200	197
504	200	196
505	201	196
506	201	195
507	201	195
508	202	194
509	202	194
510	202	193
511	202	193
512	203	192
513	203	192
514	203	192
515	204	191
516	204	191
517	204	190
518	205	190
519	205	189
520	205	188
521	205	188
522	206	187
523	206	187
524	206	186
525	206	186
526	207	185
527	207	185
528	207	184
529	207	184
530	208	183
531	208	183
532	208	182
533	208	182
534	209	181
535	209	181
536	209	180
537	209	180
538	210	179
539	210	179
540	210	178
541	210	178
542	210	177
543	211	176
544	211	176
545	211	175
546	211	175
547	212	174
548	212	174
549	212	173
550	212	173
551	213	172
552	213	172
553	213	171
554	213	171
555	213	170
556	214	170
557	214	169
558	214	169
559	214	168
560	215	168
561	215	167
562	215	167
563	216	166
564	216	166
565	216	166
566	216	165
567	217	165
568	217	164
569	217	164
570	217	163
571	218	163
572	218	162
573	218	162
574	218	161
575	219	161
576	219	160
577	219	160
578	219	159
579	220	159
580	220	158
581	220	158
582	220	158
583	221	157
584	221	157
585	221	156
586	222	156
587	222	155
588	222	155
589	222	154
590	223	154
591	223	153
592	223	153
593	223	153
594	224	152
595	224	152
596	224	151
597	224	151
598	225	150
599	225	150
600	225	149
601	225	149
602	226	148
603	226	148
604	226	148
605	226	147
606	227	147
607	227	146
608	227	146
609	228	145
610	228	145
611	228	144
612	228	144
613	229	144
614	229	143
615	229	143
616	229	142
617	230	142
618	230	141
619	230	141
620	230	140
621	231	140
622	231	139
623	231	139
624	231	139
625	232	138
626	232	138
627	232	137
628	232	137
629	232	136
630	233	136
631	233	135
632	233	135
633	234	135
634	234	134
635	234	134
636	234	133
637	235	133
638	235	132
639	235	132
640	235	132
641	236	131
642	236	131
643	236	130
644	236	130
645	236	129
646	237	129
647	237	129
648	237	128
649	237	128
650	238	127
651	238	127
652	238	126
653	238	126
654	239	125
655	239	125
656	239	125
657	239	124
658	240	124
659	240	123
660	240	123
661	240	123
662	241	122
663	241	122
664	241	121
665	241	121
666	242	120
667	242	120
668	242	120
669	242	119
670	243	119
671	243	118
672	243	118
673	243	117
674	244	117
675	244	117
676	244	116
677	244	116
678	245	115
679	245	115
680	245	115
681	246	114
682	246	114
683	246	113
684	246	113
685	247	113
686	247	112
687	247	112
688	247	111
689	248	111
690	248	111
691	248	110
692	248	110
693	249	109
694	249	109
695	249	109
696	249	108
697	250	108
698	250	107
699	250	107
700	250	107
701	251	106
702	251	106
703	251	105
704	251	105
705	252	104
706	252	104
707	252	104
708	252	103
709	253	103
710	253	102
711	253	102
712	253	102
713	254	101
714	254	101
715	254	100
716	254	100
717	255	100
718	255	99
719	255	99
720	255	99
721	256	98
722	256	98
723	256	97
724	256	97
725	257	97
726	257	96
727	257	96
728	257	95
729	258	95
730	258	95
731	258	94
732	258	94
733	259	93
734	259	93
735	259	93
736	259	92
737	260	92
738	260	92
739	260	91
740	261	91
741	261	90
742	261	90
743	261	90
744	262	89
745	262	89
746	262	88
747	262	88
748	263	88
749	263	87
750	263	87
751	263	87
752	264	86
753	264	86
754	264	85
755	264	85
756	265	85
757	265	84
758	265	84
759	265	83
760	266	83
761	266	83
762	266	82
763	266	82
764	267	82
765	267	81
766	267	81
767	267	80
768	268	80
769	268	80
770	268	79
771	268	79
772	269	79
773	269	78
774	269	78
775	269	77
776	270	77
777	270	77
778	270	76
779	270	76
780	271	76
781	271	75
782	271	75
783	272	74
784	272	74
785	272	74
786	272	73
787	273	73
788	273	73
789	273	72
790	273	72
791	274	71
792	274	71
793	274	71
794	274	70
795	275	70
796	275	70
797	275	69
798	275	69
799	276	69
800	276	68
801	276	68
802	277	67
803	277	67
804	277	67
805	277	66
806	278	66
807	278	66
808	278	65
809	279	65
810	279	65
811	279	64
812	280	64
813	280	64
814	280	63
815	281	63
816	281	63
817	281	62
818	281	62
819	282	61
820	282	61
821	282	61
822	283	60
823	283	60
824	283	60
825	283	59
826	284	59
827	284	59
828	284	58
829	284	58
830	285	57
831	285	57
832	285	57
833	285	56
834	286	56
835	286	56
836	286	55
837	286	55
838	287	55
839	287	54
840	287	54
841	287	54
842	288	53
843	288	53
844	288	52
845	289	52
846	289	52
847	289	51
848	289	51
849	290	51
850	290	50
851	290	50
852	291	50
853	291	49
854	291	49
855	292	49
856	292	48
857	292	48
858	292	48
859	293	47
860	293	47
861	293	47
862	294	46
863	294	46
864	294	45
865	295	45
866	295	45
867	295	44
868	295	44
869	296	44
870	296	43
871	296	43
872	297	43
873	297	42
874	297	42
875	297	42
876	298	41
877	298	41
878	298	41
879	298	40
880	299	40
881	299	40
882	299	39
883	300	39
884	300	39
885	300	38
886	301	38
887	301	38
888	301	37
889	302	37
890	302	36
891	302	36
892	302	36
893	303	35
894	303	35
895	303	35
896	303	34
897	304	34
898	304	34
899	304	33
900	304	33
901	305	33
902	305	32
903	305	32
904	305	32
905	306	31
906	306	31
907	306	31
908	306	30
909	307	30
910	307	30
911	307	29
912	307	29
913	308	28
914	308	28
915	308	28
916	308	27
917	309	27
918	309	27
919	309	26
920	310	26
921	310	26
922	310	25
923	310	25
924	311	25
925	311	24
926	311	24
927	312	24
928	312	23
929	312	23
930	312	23
931	313	22
932	313	22
933	313	22
934	313	21
935	314	21
936	314	21
937	314	20
938	314	20
939	315	20
940	315	19
941	315	19
942	315	19
943	316	18
944	316	18
945	316	18
946	316	17
947	317	17
948	317	17
949	317	16
950	318	16
951	318	16
952	318	15
953	318	15
954	319	15
955	319	14
956	319	14
957	319	14
958	320	13
959	320	13
960	320	13
961	320	12
962	321	12
963	321	11
964	321	11
965	321	11
966	322	10
967	322	10
968	322	10
969	322	9
970	323	9
971	323	9
972	323	8
973	323	8
974	324	8
975	324	7
976	324	7
977	324	7
978	325	6
979	325	6
980	325	6
981	325	5
982	326	5
983	326	5
984	326	4
985	326	4
986	327	4
987	327	3
988	327	3
989	327	3
990	328	2
991	328	2
992	328	2
993	328	1
994	329	1
995	329	1
996	329	0
997	329	0
998	329	0
999	330	0
