iter	Passed	Remaining
0	61	61597
1	62	30951
2	62	20731
3	62	15649
4	63	12575
5	63	10521
6	63	9057
7	64	7956
8	64	7106
9	64	6420
10	65	5855
11	65	5387
12	65	4988
13	65	4647
14	66	4351
15	66	4092
16	66	3863
17	67	3660
18	67	3478
19	67	3315
20	67	3165
21	68	3031
22	68	2909
23	68	2797
24	69	2694
25	69	2597
26	69	2508
27	69	2425
28	70	2348
29	70	2277
30	70	2210
31	70	2147
32	71	2088
33	71	2032
34	71	1980
35	72	1930
36	72	1883
37	72	1839
38	72	1796
39	73	1756
40	73	1717
41	73	1682
42	74	1655
43	75	1630
44	75	1604
45	75	1574
46	76	1546
47	76	1519
48	76	1492
49	77	1466
50	77	1441
51	77	1417
52	77	1393
53	78	1371
54	78	1350
55	78	1330
56	79	1310
57	79	1291
58	79	1273
59	80	1255
60	80	1238
61	80	1222
62	81	1206
63	81	1190
64	81	1178
65	82	1163
66	82	1150
67	83	1137
68	83	1126
69	83	1112
70	84	1100
71	84	1089
72	84	1077
73	85	1068
74	85	1059
75	86	1050
76	86	1040
77	87	1029
78	87	1020
79	88	1012
80	88	1004
81	88	996
82	89	986
83	89	977
84	89	968
85	90	960
86	90	952
87	91	944
88	91	936
89	91	928
90	92	920
91	92	912
92	92	904
93	93	898
94	93	890
95	93	884
96	94	877
97	94	872
98	95	866
99	95	860
100	96	855
101	96	849
102	96	843
103	97	838
104	97	833
105	98	827
106	98	820
107	98	814
108	98	808
109	99	802
110	99	796
111	99	790
112	100	785
113	100	779
114	100	773
115	100	768
116	101	762
117	101	759
118	102	757
119	102	753
120	103	749
121	103	744
122	103	739
123	103	734
124	104	729
125	104	725
126	104	720
127	105	716
128	105	712
129	105	708
130	106	703
131	106	700
132	107	697
133	107	693
134	107	690
135	108	688
136	108	685
137	109	682
138	109	678
139	110	675
140	110	673
141	110	668
142	111	665
143	111	662
144	111	658
145	112	655
146	112	652
147	112	649
148	113	646
149	113	643
150	113	640
151	114	637
152	114	634
153	115	632
154	115	628
155	115	625
156	115	622
157	116	619
158	116	615
159	116	612
160	116	609
161	117	605
162	117	602
163	117	599
164	117	596
165	118	593
166	118	590
167	118	587
168	118	585
169	119	582
170	119	579
171	119	576
172	120	573
173	120	570
174	120	567
175	120	565
176	121	562
177	121	560
178	121	557
179	121	554
180	122	552
181	122	549
182	122	546
183	122	544
184	123	542
185	123	539
186	123	537
187	123	535
188	124	532
189	124	530
190	124	528
191	125	526
192	125	524
193	125	522
194	125	519
195	126	517
196	126	515
197	126	513
198	126	511
199	127	508
200	127	506
201	127	504
202	128	502
203	128	500
204	128	498
205	128	496
206	129	494
207	129	492
208	129	490
209	129	488
210	130	486
211	130	484
212	130	482
213	130	480
214	131	479
215	131	477
216	131	475
217	131	473
218	132	471
219	132	469
220	132	467
221	132	466
222	133	464
223	133	462
224	133	460
225	133	458
226	134	457
227	134	455
228	134	453
229	135	452
230	135	450
231	135	448
232	135	447
233	136	445
234	136	444
235	136	442
236	136	440
237	137	439
238	137	437
239	137	436
240	137	434
241	138	433
242	138	431
243	138	430
244	139	428
245	139	427
246	139	425
247	139	424
248	140	423
249	140	421
250	140	420
251	141	418
252	141	417
253	141	416
254	141	414
255	142	413
256	142	411
257	142	410
258	142	409
259	143	407
260	143	406
261	143	405
262	144	403
263	144	402
264	144	400
265	144	399
266	145	398
267	145	396
268	145	395
269	145	394
270	146	392
271	146	391
272	146	390
273	146	388
274	147	387
275	147	386
276	147	385
277	147	383
278	148	382
279	148	381
280	148	380
281	148	378
282	149	377
283	149	376
284	149	375
285	149	374
286	150	372
287	150	371
288	150	370
289	150	369
290	151	368
291	151	367
292	151	366
293	152	365
294	152	364
295	152	363
296	152	362
297	153	361
298	153	359
299	153	358
300	154	357
301	154	357
302	154	356
303	155	355
304	155	354
305	155	353
306	155	352
307	156	350
308	156	349
309	156	348
310	156	347
311	157	346
312	157	345
313	157	344
314	157	343
315	158	342
316	158	341
317	158	340
318	159	339
319	159	338
320	159	337
321	159	336
322	160	335
323	160	334
324	160	333
325	160	332
326	161	331
327	161	330
328	161	329
329	161	328
330	162	327
331	162	326
332	162	325
333	162	324
334	163	323
335	163	322
336	163	322
337	163	321
338	164	320
339	164	319
340	164	318
341	165	317
342	165	316
343	165	315
344	165	315
345	166	314
346	166	313
347	166	312
348	167	311
349	167	310
350	167	310
351	167	309
352	168	308
353	168	307
354	168	306
355	169	305
356	169	304
357	169	304
358	169	303
359	170	302
360	170	301
361	170	301
362	171	300
363	171	299
364	171	298
365	172	298
366	172	297
367	172	296
368	172	295
369	173	294
370	173	293
371	173	293
372	173	292
373	174	291
374	174	290
375	174	289
376	174	289
377	175	288
378	175	287
379	175	286
380	175	285
381	176	285
382	176	284
383	176	283
384	177	282
385	177	282
386	177	281
387	178	280
388	178	280
389	178	279
390	178	278
391	179	277
392	179	277
393	179	276
394	179	275
395	180	274
396	180	274
397	180	273
398	180	272
399	181	271
400	181	271
401	181	270
402	182	269
403	182	269
404	182	268
405	182	267
406	183	266
407	183	266
408	183	265
409	184	264
410	184	264
411	184	263
412	184	262
413	185	262
414	185	261
415	185	260
416	186	260
417	186	259
418	186	258
419	186	258
420	187	257
421	187	256
422	187	255
423	187	255
424	188	254
425	188	253
426	188	253
427	188	252
428	189	251
429	189	251
430	189	250
431	190	249
432	190	249
433	190	248
434	190	247
435	191	247
436	191	246
437	191	245
438	191	245
439	192	244
440	192	243
441	192	243
442	192	242
443	193	241
444	193	241
445	193	240
446	193	239
447	194	239
448	194	238
449	194	237
450	194	237
451	195	236
452	195	236
453	195	235
454	196	234
455	196	234
456	196	233
457	196	232
458	197	232
459	197	231
460	197	231
461	197	230
462	198	229
463	198	229
464	198	228
465	199	228
466	199	227
467	199	226
468	199	226
469	200	225
470	200	225
471	200	224
472	200	223
473	201	223
474	201	222
475	201	222
476	201	221
477	202	220
478	202	220
479	202	219
480	202	218
481	203	218
482	203	217
483	203	217
484	203	216
485	204	216
486	204	215
487	204	214
488	205	214
489	205	213
490	205	213
491	205	212
492	206	211
493	206	211
494	206	210
495	206	210
496	207	209
497	207	208
498	207	208
499	207	207
500	208	207
501	208	206
502	208	206
503	208	205
504	209	204
505	209	204
506	209	203
507	209	203
508	210	202
509	210	202
510	210	201
511	211	201
512	211	200
513	211	200
514	211	199
515	212	198
516	212	198
517	212	197
518	213	197
519	213	196
520	213	196
521	213	195
522	214	195
523	214	194
524	214	194
525	214	193
526	215	193
527	215	192
528	215	192
529	216	191
530	216	191
531	216	190
532	216	189
533	217	189
534	217	188
535	217	188
536	217	187
537	218	187
538	218	186
539	218	186
540	218	185
541	219	185
542	219	184
543	219	184
544	219	183
545	220	183
546	220	182
547	220	181
548	220	181
549	221	180
550	221	180
551	221	179
552	221	179
553	222	178
554	222	178
555	222	177
556	222	177
557	223	176
558	223	176
559	223	175
560	223	175
561	224	174
562	224	174
563	224	173
564	224	173
565	225	172
566	225	172
567	225	171
568	225	171
569	226	170
570	226	170
571	226	169
572	227	169
573	227	168
574	227	168
575	227	167
576	228	167
577	228	166
578	228	166
579	229	165
580	229	165
581	229	164
582	229	164
583	230	163
584	230	163
585	230	163
586	231	162
587	231	162
588	231	161
589	231	161
590	232	160
591	232	160
592	232	159
593	232	159
594	233	158
595	233	158
596	233	157
597	233	157
598	234	156
599	234	156
600	234	155
601	234	155
602	235	154
603	235	154
604	235	153
605	235	153
606	236	152
607	236	152
608	236	151
609	236	151
610	237	150
611	237	150
612	237	150
613	237	149
614	238	149
615	238	148
616	238	148
617	238	147
618	239	147
619	239	146
620	239	146
621	239	145
622	240	145
623	240	144
624	240	144
625	241	144
626	241	143
627	241	143
628	241	142
629	242	142
630	242	141
631	242	141
632	242	140
633	243	140
634	243	139
635	243	139
636	243	139
637	244	138
638	244	138
639	244	137
640	245	137
641	245	136
642	245	136
643	245	135
644	246	135
645	246	135
646	246	134
647	246	134
648	247	133
649	247	133
650	247	132
651	248	132
652	248	131
653	248	131
654	248	131
655	249	130
656	249	130
657	249	129
658	249	129
659	250	128
660	250	128
661	250	127
662	250	127
663	251	127
664	251	126
665	251	126
666	251	125
667	252	125
668	252	124
669	252	124
670	252	123
671	253	123
672	253	123
673	253	122
674	253	122
675	254	121
676	254	121
677	254	120
678	254	120
679	255	120
680	255	119
681	255	119
682	255	118
683	256	118
684	256	117
685	256	117
686	256	117
687	257	116
688	257	116
689	257	115
690	257	115
691	258	114
692	258	114
693	258	114
694	258	113
695	259	113
696	259	112
697	259	112
698	260	112
699	260	111
700	260	111
701	261	110
702	261	110
703	261	110
704	262	109
705	262	109
706	263	109
707	263	108
708	264	108
709	264	108
710	264	107
711	265	107
712	265	106
713	265	106
714	265	105
715	266	105
716	266	105
717	266	104
718	266	104
719	267	103
720	267	103
721	267	103
722	267	102
723	268	102
724	268	101
725	268	101
726	268	101
727	269	100
728	269	100
729	269	99
730	270	99
731	270	98
732	270	98
733	270	98
734	271	97
735	271	97
736	271	96
737	271	96
738	272	96
739	272	95
740	273	95
741	273	95
742	273	94
743	274	94
744	275	94
745	275	93
746	275	93
747	276	93
748	276	92
749	276	92
750	277	91
751	277	91
752	277	91
753	278	90
754	278	90
755	278	89
756	279	89
757	279	89
758	279	88
759	280	88
760	280	88
761	280	87
762	280	87
763	281	86
764	281	86
765	281	86
766	281	85
767	282	85
768	282	84
769	282	84
770	282	84
771	283	83
772	283	83
773	283	82
774	283	82
775	284	82
776	284	81
777	284	81
778	284	80
779	285	80
780	285	80
781	285	79
782	285	79
783	286	78
784	286	78
785	286	78
786	287	77
787	287	77
788	287	76
789	288	76
790	288	76
791	288	75
792	288	75
793	289	75
794	289	74
795	289	74
796	290	73
797	290	73
798	290	73
799	290	72
800	291	72
801	291	71
802	291	71
803	292	71
804	292	70
805	292	70
806	292	70
807	293	69
808	293	69
809	293	68
810	294	68
811	294	68
812	294	67
813	294	67
814	295	67
815	295	66
816	295	66
817	296	65
818	296	65
819	296	65
820	296	64
821	297	64
822	297	63
823	297	63
824	298	63
825	298	62
826	298	62
827	298	62
828	299	61
829	299	61
830	299	60
831	299	60
832	300	60
833	300	59
834	300	59
835	300	59
836	301	58
837	301	58
838	301	57
839	301	57
840	302	57
841	302	56
842	302	56
843	303	56
844	303	55
845	303	55
846	304	54
847	304	54
848	304	54
849	305	53
850	305	53
851	305	53
852	306	52
853	306	52
854	306	51
855	306	51
856	307	51
857	307	50
858	307	50
859	307	50
860	308	49
861	308	49
862	308	49
863	309	48
864	309	48
865	309	47
866	309	47
867	310	47
868	310	46
869	310	46
870	311	46
871	311	45
872	311	45
873	311	44
874	312	44
875	312	44
876	312	43
877	312	43
878	313	43
879	313	42
880	313	42
881	313	41
882	314	41
883	314	41
884	314	40
885	314	40
886	315	40
887	315	39
888	315	39
889	315	39
890	316	38
891	316	38
892	316	37
893	317	37
894	317	37
895	317	36
896	317	36
897	318	36
898	318	35
899	318	35
900	318	35
901	319	34
902	319	34
903	319	33
904	319	33
905	320	33
906	320	32
907	321	32
908	321	32
909	321	31
910	322	31
911	322	31
912	322	30
913	323	30
914	323	30
915	323	29
916	324	29
917	324	28
918	324	28
919	325	28
920	325	27
921	325	27
922	325	27
923	326	26
924	326	26
925	326	26
926	326	25
927	327	25
928	327	25
929	327	24
930	327	24
931	328	23
932	328	23
933	328	23
934	328	22
935	329	22
936	329	22
937	329	21
938	329	21
939	330	21
940	330	20
941	330	20
942	330	20
943	331	19
944	331	19
945	331	18
946	332	18
947	332	18
948	332	17
949	332	17
950	333	17
951	333	16
952	333	16
953	334	16
954	334	15
955	334	15
956	335	15
957	335	14
958	335	14
959	335	13
960	336	13
961	336	13
962	337	12
963	337	12
964	337	12
965	337	11
966	338	11
967	338	11
968	338	10
969	339	10
970	339	10
971	339	9
972	339	9
973	340	9
974	340	8
975	340	8
